Filename, Percentage whiteness, Latitude, Longitude
image_000.jpg, 74.35069960092147%, +19.3806, 150.4677
image_001.jpg, 50.69382407370328%, +20.8941, 151.7478
image_002.jpg, 47.996689381634354%, +22.3981, 153.0586
image_003.jpg, 47.931444946129%, +23.8890, 154.4007
image_004.jpg, 54.30610326802334%, +25.3660, 155.7775
image_005.jpg, 46.45614303040211%, +26.8247, 157.1888
image_006.jpg, 41.997913146629514%, +28.2654, 158.6393
image_007.jpg, 47.58316365341899%, +29.6868, 160.1321
image_008.jpg, 48.73211946845711%, +31.0880, 161.6715
image_009.jpg, 48.05516463326771%, +32.4671, 163.2603
image_010.jpg, 48.55796194509858%, +33.8223, 164.9027
image_011.jpg, 48.46363597625043%, +35.1508, 166.6007
image_012.jpg, 65.1375777671325%, +36.4509, 168.3589
image_013.jpg, 61.49252580901897%, +37.7197, 170.1799
image_014.jpg, 68.84258064501816%, +38.9518, 172.0628
image_015.jpg, 76.42975658812848%, +40.1493, 174.0178
image_016.jpg, 75.58841942171335%, +41.3074, 176.0453
image_017.jpg, 70.18745580978486%, +42.4235, 178.1490
image_018.jpg, 70.33179650124346%, +43.4953, -179.6666
image_019.jpg, 57.073758162744994%, +44.5185, -177.4011
image_020.jpg, 43.10589936212691%, +45.4894, -175.0529
image_021.jpg, 43.35516588993097%, +46.4037, -172.6238
image_022.jpg, 44.66100304009505%, +47.2600, -170.1068
image_023.jpg, 54.62905495166609%, +48.0525, -167.5091
image_024.jpg, 76.48542169982359%, +48.7774, -164.8334
image_025.jpg, 87.32373780337385%, +49.4327, -162.0778
image_026.jpg, 84.28921105142956%, +50.0135, -159.2519
image_027.jpg, 71.28508144675506%, +50.5181, -156.3549
image_028.jpg, 70.28408022050209%, +50.9424, -153.3985
image_029.jpg, 52.879887602009%, +51.2839, -150.3910
image_030.jpg, 56.531816820204874%, +51.5401, -147.3448
image_031.jpg, 60.450825649159675%, +51.7097, -144.2674
image_032.jpg, 53.98956183479746%, +51.7914, -141.1694
image_033.jpg, 37.14056843554408%, +51.7846, -138.0733
image_034.jpg, 37.82882072104295%, +51.6894, -134.9812
image_035.jpg, 40.86479128875318%, +51.5059, -131.9022
image_036.jpg, 47.30677110610724%, +51.2355, -128.8537
image_037.jpg, 49.97618963818858%, +50.8812, -125.8562
image_038.jpg, 63.87576376562492%, +50.4445, -122.9115
image_039.jpg, 69.95231160989356%, +49.9284, -120.0279
image_040.jpg, 69.20183658563226%, +49.3346, -117.2076
image_041.jpg, 68.10520819733017%, +48.6691, -114.4678
image_042.jpg, 77.95609281933577%, +47.9336, -111.8050
image_043.jpg, 82.72509029949615%, +47.1323, -109.2236
image_044.jpg, 85.9619327062684%, +46.2681, -106.7237
image_045.jpg, 82.66608227334791%, +45.3449, -104.3069
image_046.jpg, 64.59793248941871%, +44.3663, -101.9727
image_047.jpg, 67.11248842954633%, +43.3355, -99.7197
image_048.jpg, 71.50165793185333%, +42.2590, -97.5523
image_049.jpg, 65.89603363318987%, +41.1378, -95.4628
